,SalePrice
47980,520.9369773485063
72917,68.975884526083
36384,57.79365127849994
102922,17310.579911007488
45626,-78.05101965394731
64877,-34.08061292769534
62245,222.84750595405018
79562,182.9068175267353
1883,41339.25874914042
16269,470.7688360662009
